"0","head(imputed_train_data)"
"1"," "
"1"," Survived"
"1"," Pclass"
"1","    Sex"
"1","        Age"
"1","       Fare"
"1"," Cabin"
"1"," Embarked"
"1"," family_size"
"1","
1"
"1","        0"
"1","      3"
"1","   male"
"1"," -0.5300051"
"1"," -0.4545425"
"1","     N"
"1","        S"
"1","           2"
"1","
2"
"1","        1"
"1","      1"
"1"," female"
"1","  0.5714304"
"1","  0.4387479"
"1","     C"
"1","        C"
"1","           2"
"1","
3"
"1","        1"
"1","      3"
"1"," female"
"1"," -0.2546462"
"1"," -0.3345690"
"1","     N"
"1","        S"
"1","           1"
"1","
4"
"1","        1"
"1","      1"
"1"," female"
"1","  0.3649113"
"1","  0.1850835"
"1","     C"
"1","        S"
"1","           2"
"1","
5"
"1","        0"
"1","      3"
"1","   male"
"1","  0.3649113"
"1"," -0.3310814"
"1","     N"
"1","        S"
"1","           1"
"1","
6"
"1","        0"
"1","      3"
"1","   male"
"1"," -0.4611654"
"1"," -0.3196895"
"1","     N"
"1","        Q"
"1","           1"
"1","
"
